source,target,value,ip
IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.716029,all
IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,0.711445,all
IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,0.732999,all
IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.749799,all
IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,0.749248,all
OS-PCE-5-PEER_STATE_CHANGE :PCEP Peer <*> state changed from <*> to <*>,BGP-3-NOTIFICATION:sent to neighbor <*> 4 0 hold time expired 0 bytes,0.644245,all
IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,0.71603,all
IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.749799,all
IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,0.772691,all
IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,IOSXE_PEM-6-FANOK:The <*> in <*> <*> is functioning properly,0.711447,all
IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,IOSXE_RP_ALARM-2-PEM:cleared MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.749248,all
IOSXE_PEM-3-FANFAIL:The fan in P2 <*> is encountering a failure condition,IOSXE_RP_ALARM-2-PEM:asserted MAJOR Fan Tray Ext. ALARM:: Fan Tray Fan <*> Failure,0.772691,all
ETHPORT-5-IF_UP:Interface <*> <*> is up in mode <*>,PLATFORM-VIC-4-RX_LOS :Interface <*> <*> 0 <*> Detected Rx Loss of Signal,0.760165,all
